country,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Angola,,,,,,,,,,,,15.8,21.3,20.1,20.9,17.8,16.8,14.2,20.4,20,20,19.2,16.6,17.6,17.1,20.3,19.9,20.4,22,22.1,25.5,25.5,24.1,25,24.4,22.8,23.5,23.9,22.1,24.7,25.2,26.7,28.1,31.7,31.6,27.1,31.7,34.7,38,41.8,43,43.8,48,46.5,48.3,
Albania,,,,,,,,,,,,74.7,77.2,74.4,75.4,75.7,76.2,75.9,78,75,80.9,78,77.8,78.9,81.1,81.4,77.1,78.6,80.4,79.7,76.6,69.8,56.1,53.5,54.8,49.5,45.5,41.4,45.3,58.2,58.7,61,63.2,64.5,65.6,66.5,64.5,65.1,63.8,63.4,63.2,61.5,57.8,56.4,61.4,
United Arab Emirates,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,,,100,100,,100,100,100,100,100,,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,100,100,99.9,99.9,99.9,99.9,99.9,,,91.7,90.1,93.6,86.1,
Argentina,,,,,,,,,,,,92.9,93.3,93.4,91.5,91.6,92.1,92.4,91,91.4,90.3,90,90.4,89.2,88.5,87.2,88.5,88.2,90.2,91.4,88.7,88.9,88.8,87.7,87,87.1,87.7,86.9,86.8,88.3,88.4,86,85.8,86,89.3,89.1,88.7,89.2,90.7,89.6,89.5,88.9,89,89,87.7,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,96.5,92.7,82.1,77,84.3,57.7,70.6,72.1,65.3,70,71.2,61.8,65.7,66.9,68.1,67.5,70.6,73.3,68.2,67.4,71.5,77.3,75.5,74.6,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
Australia,85.9,86.3,87.1,87.1,88,88,89.2,89.5,90.1,90.3,91.5,91.2,91.3,92.1,91.8,91.8,91.9,92.7,92.7,92.8,93.2,92.8,92.9,92.8,93.2,92.9,93.4,93.7,93.6,93.9,93.9,93.7,94.3,93.8,93.9,93.8,93.6,93.5,93.9,93.9,89.3,98.1,95.9,93.9,94.1,94.2,94.3,94.3,94.4,95.5,94.4,94.4,94.4,93.7,93.4,89.6
Austria,85.4,86.6,87.4,87.9,89.1,88,87.5,87.7,88.5,89.5,89,90.2,90.1,89.8,88.7,88.4,89.6,88.2,87.6,87,85.9,84,82.7,82.4,81.8,81,79.7,79.6,74.7,76.5,79.1,79.1,77.2,77,77.6,78,78.2,78.4,78.5,76.6,76.5,76.9,77.3,78.1,77.7,77,74.7,72.6,71.6,69.8,70.3,69.2,67.3,66.3,64.8,65.7
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,99.9,99.3,98.6,98.7,98.7,98.4,97.9,98.2,98.1,98.3,98.4,97.3,96.9,97.1,97.1,97.6,97.8,98.3,97.9,96.9,97.9,98.5,98.2,98.4,
Belgium,99.9,,,,,99.9,99.9,99.8,99.9,,99.8,,,,99.9,95.9,94.8,93.2,93.5,94,93.3,92,89.9,84.4,82.7,79.2,77.1,76.4,76.1,77,75.8,76.4,75.9,75.9,77.6,77.4,77.6,75.9,77,75.8,75.9,75.6,74.5,75.2,75,74.8,73.9,72.7,73.4,72.6,72.8,70.3,71.1,70.8,72.7,75.9
Benin,,,,,,,,,,,,9.04,11.4,11.5,11.6,12.3,7.7,8.93,9.82,9.73,9.7,7.29,8.54,8.28,8.49,10.2,8.72,7.52,7.28,5.46,4.84,3.85,3.93,3.84,3.87,3.78,13.3,17.3,17.3,21,25.5,27.5,29.6,32.1,32.8,31,36.3,39.7,39.1,39.8,41.6,39.4,36.2,36.5,36.7,
Bangladesh,,,,,,,,,,,,21.4,20.7,24.2,25.4,24.7,27.4,27.3,28.2,29.4,32.1,32.7,35,33.4,34.9,37.3,39.1,43.9,44.2,45.1,45.5,44.7,46.7,49.5,50.3,54.4,56.1,56.6,57.6,57.3,57.9,60.7,61,62.4,62.5,63.3,65.3,66.4,67.6,69,71,71.6,72.7,72.9,73.8,
Bulgaria,,,,,,,,,,,,97.5,97.4,96.4,95.3,93.9,91.4,90.9,91.4,91.4,91.4,88,87.5,86.4,86.1,85.7,86.8,86.8,84.2,84.9,84.1,81.9,82.5,81.9,79.8,78.8,77.5,76.8,76.1,74.7,72.4,73.1,70.5,74.1,74,73,72.5,77.7,76.1,73,73.2,75,72.2,70.2,71,
Bahrain,,,,,,,,,,,,,,100,100,,100,100,,100,100,100,,100,100,100,100,,100,100,99.8,,99.9,,100,100,99.9,,99.9,,,100,,99.1,,,,97.8,,99.8,,98.8,,,99.4,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
